"Glottocode","Family_GLOT_Lv1","Genus","Area_GLOT","Classifiers","Gender","NounClass","dens_lang","dens_fam","dist_river","dist_ocean","elev","elevSD","n_warm_month_2ad","temp_mean_2ad","per_wetqu_2ad","per_cv_2ad","temp_warmqu_2ad","gras_2ad","crop_2ad","pop_2ad"
"west2650","aust1307","Malayo-Sumbawan","Eurasia",TRUE,FALSE,FALSE,0.0357142857142857,0.142857142857143,0.0396132321333897,0.258059774407653,0.0106487765293158,0.143678068943937,1,0.942093541202673,0.208787465940054,0.362637362637363,0.837315130830489,0.0962797035638567,0.390820051526652,0.0128948494261639
"oldk1249","aust1305",NA,"Eurasia",TRUE,FALSE,FALSE,0.0357142857142857,0.142857142857143,0.0396132321333897,0.258059774407653,0.0106487765293158,0.143678068943937,1,0.942093541202673,0.208787465940054,0.362637362637363,0.837315130830489,0.0962797035638567,0.390820051526652,0.0128948494261639
"cent2314","aust1305",NA,"Eurasia",TRUE,FALSE,FALSE,0.0357142857142857,0.142857142857143,0.0396132321333897,0.258059774407653,0.0106487765293158,0.143678068943937,1,0.942093541202673,0.208787465940054,0.362637362637363,0.837315130830489,0.0962797035638567,0.390820051526652,0.0128948494261639
"chon1284","aust1305",NA,"Eurasia",TRUE,FALSE,FALSE,0.0357142857142857,0.142857142857143,0.0396132321333897,0.258059774407653,0.0106487765293158,0.143678068943937,1,0.942093541202673,0.208787465940054,0.362637362637363,0.837315130830489,0.0962797035638567,0.390820051526652,0.0128948494261639
"cent1989","aust1305","Khmer","Eurasia",TRUE,FALSE,FALSE,0,0,0.0126091003347963,0.186653657275196,0.00482195108286057,0.0176937010883524,1,0.951002227171492,0.286614441416894,0.423076923076923,0.848691695108077,0.0223640287605483,0.174466208309473,0.0350898885809416
"cent1992","aust1305",NA,"Eurasia",TRUE,FALSE,FALSE,0.0119047619047619,0,0.0264174084319538,0.101262038275557,0.0690435439533131,0.121442712311594,1,0.888641425389755,0.365463215258856,0.445054945054945,0.787258248009101,0.0854358806490536,0.262688704803029,0.00417285299752609
"bulo1242","aust1305",NA,"Eurasia",TRUE,FALSE,FALSE,0.0119047619047619,0,0.0264174084319538,0.101262038275557,0.0690435439533131,0.121442712311594,1,0.888641425389755,0.365463215258856,0.445054945054945,0.787258248009101,0.0854358806490536,0.262688704803029,0.00417285299752609
"chru1239","aust1307","Malayo-Sumbawan","Eurasia",FALSE,FALSE,FALSE,0.0833333333333333,0.142857142857143,0.0704461667868428,0.0321591274990178,0.0889386104900931,0.223197786955219,1,0.859688195991091,0.224455040871935,0.368131868131868,0.750853242320819,0.0304393888066301,0.186476447245648,0.044487360726177
"koho1244","aust1305","Bahnaric","Eurasia",TRUE,FALSE,FALSE,0.0833333333333333,0.142857142857143,0.0704461667868428,0.0321591274990178,0.0889386104900931,0.223197786955219,1,0.859688195991091,0.224455040871935,0.368131868131868,0.750853242320819,0.0304393888066301,0.186476447245648,0.044487360726177
"nort2994","aust1307","Malayo-Sumbawan","Eurasia",TRUE,FALSE,FALSE,0.0833333333333333,0.142857142857143,0.0704461667868428,0.0321591274990178,0.0889386104900931,0.223197786955219,1,0.859688195991091,0.224455040871935,0.368131868131868,0.750853242320819,0.0304393888066301,0.186476447245648,0.044487360726177
"rade1240","aust1307","Malayo-Sumbawan","Eurasia",TRUE,FALSE,FALSE,0.0833333333333333,0.142857142857143,0.0704461667868428,0.0321591274990178,0.0889386104900931,0.223197786955219,1,0.859688195991091,0.224455040871935,0.368131868131868,0.750853242320819,0.0304393888066301,0.186476447245648,0.044487360726177
"east2563","aust1307","Malayo-Sumbawan","Eurasia",TRUE,FALSE,FALSE,0.0833333333333333,0.142857142857143,0.0704461667868428,0.0321591274990178,0.0889386104900931,0.223197786955219,1,0.859688195991091,0.224455040871935,0.368131868131868,0.750853242320819,0.0304393888066301,0.186476447245648,0.044487360726177
"haro1237","aust1307",NA,"Eurasia",TRUE,FALSE,FALSE,0.0833333333333333,0.142857142857143,0.0704461667868428,0.0321591274990178,0.0889386104900931,0.223197786955219,1,0.859688195991091,0.224455040871935,0.368131868131868,0.750853242320819,0.0304393888066301,0.186476447245648,0.044487360726177
"biha1246","aust1307",NA,"Eurasia",TRUE,FALSE,FALSE,0.0833333333333333,0.142857142857143,0.0704461667868428,0.0321591274990178,0.0889386104900931,0.223197786955219,1,0.859688195991091,0.224455040871935,0.368131868131868,0.750853242320819,0.0304393888066301,0.186476447245648,0.044487360726177
"east2333","aust1305","Bahnaric","Eurasia",FALSE,FALSE,FALSE,0.0833333333333333,0.142857142857143,0.0704461667868428,0.0321591274990178,0.0889386104900931,0.223197786955219,1,0.859688195991091,0.224455040871935,0.368131868131868,0.750853242320819,0.0304393888066301,0.186476447245648,0.044487360726177
"alba1269","aust1307",NA,"Papunesia",FALSE,FALSE,FALSE,0.0714285714285714,0,0.38564025413106,0.0286093762912675,0,0.0369686889230327,1,0.939866369710468,0.29291553133515,0.214285714285714,0.830489192263936,0.0201005375791556,0.0954959825572917,0.145639962054277
"sout2912","aust1307",NA,"Papunesia",FALSE,FALSE,FALSE,0.0714285714285714,0,0.38564025413106,0.0286093762912675,0,0.0369686889230327,1,0.939866369710468,0.29291553133515,0.214285714285714,0.830489192263936,0.0201005375791556,0.0954959825572917,0.145639962054277
"fili1244","aust1307",NA,"Papunesia",FALSE,FALSE,FALSE,0.0714285714285714,0,0.38564025413106,0.0286093762912675,0,0.0369686889230327,1,0.939866369710468,0.29291553133515,0.214285714285714,0.830489192263936,0.0201005375791556,0.0954959825572917,0.145639962054277
