Glottocode,Family_GLOT_Lv1,Genus,Area_GLOT,Longitude,Latitude,Classifiers,Gender,NounClass,Source
bakh1245,indo1319,NA,Eurasia,49.7713,32.0163,TRUE,FALSE,FALSE,"Anonby and Taheri-Ardali 2018, Rahmanian 1978, Zolfaghari 2017"
baki1244,aust1307,NA,Papunesia,168.165,-16.7096,FALSE,FALSE,FALSE,"Fraser 1891, Ray 1926"
bako1249,atla1278,NA,Africa,9.99905,3.56518,FALSE,FALSE,TRUE,Kenmogne 2000
bako1250,atla1278,NA,Africa,8.97387,4.43654,FALSE,FALSE,TRUE,Asobo 1989
bala1301,atla1278,NA,Africa,-15.3221,11.8203,FALSE,FALSE,TRUE,Wilson 1961
bala1302,atla1278,NA,Africa,-15.6658,12.5382,FALSE,FALSE,TRUE,Fudeman 1999
bala1310,aust1307,Northern Luzon,Papunesia,121.272,17.0994,FALSE,FALSE,FALSE,Shetler 1976
bala1311,aust1307,Sama-Bajaw,Papunesia,121.686646,6.011614,FALSE,FALSE,FALSE,Gault 1999
bala1315,aust1307,Celebic,Papunesia,123.289,-0.86809,TRUE,FALSE,FALSE,Berg and Busenitz 2012
bali1278,aust1307,Malayo-Sumbawan,Papunesia,115.075,-8.35714,TRUE,FALSE,FALSE,"Clynes 1995, Hunter 1988"
balk1252,indo1319,Indic,Eurasia,21.17,42.67,TRUE,TRUE,FALSE,"Baghbidi 2003, Gilliat-Smith 1913, Gilliat-Smith 1935, Sechidou 2011, Kenrick 1969, Cech and Heinschink 1997, Cech and Heinschink 1996, Cech 2006, Schulman 2010, Matras 2004"
balt1257,indo1319,Indic,Eurasia,38,60,FALSE,TRUE,FALSE,"Tenser 2005, Tenser 2008"
balt1258,sino1245,Bodic,Eurasia,77.2859,34.4491,FALSE,FALSE,FALSE,"Read 1934, Sharma 2004, Naikoo 2014"
balu1257,aust1307,NA,Papunesia,147.282,-2.5604,TRUE,FALSE,FALSE,Schokkin 2014
bamb1262,maoo1243,NA,Africa,34.6522,9.82554,FALSE,FALSE,FALSE,"Ahland 2012, Yimam 2006"
bamb1265,atla1278,NA,Africa,10.544,5.861,FALSE,FALSE,TRUE,Wright 2009
bamb1266,atla1278,Bantoid,Africa,10.2233,6.10821,TRUE,FALSE,TRUE,Ayuninjam 1994
bamb1269,mand1469,Western Mande,Africa,-7.65,12.9,FALSE,FALSE,FALSE,"Bird 1966, Bird, Hutchinson and Kante 1977"
bamb1270,aust1307,South Sulawesi,Papunesia,119.201,-3.02759,FALSE,FALSE,FALSE,Campbell 1989
bamu1253,atla1278,Bantoid,Africa,10.8477,5.49017,FALSE,FALSE,TRUE,Nchare 2012
bana1288,aust1307,NA,Papunesia,121.05,17.5643,FALSE,FALSE,FALSE,Ramos 1970
band1340,atla1278,NA,Africa,-16.4245,12.5258,TRUE,FALSE,TRUE,"Sagna 2008, Watson 2015"
band1352,mand1469,Western Mande,Africa,-10.1684,7.73729,FALSE,FALSE,FALSE,"Grossmann 1992, Rodewald 1989"
bang1339,pama1250,Pama-Nyungan,Australia,136.079,-33.3036,FALSE,FALSE,FALSE,"Clendon 2015 [1844], Schürmann 1844"
bang1354,atla1278,Bantoid,Africa,17.227,-0.87437,FALSE,FALSE,TRUE,"MacBeath 1940, Whitehead 1964 [1899]"
bank1259,dogo1299,NA,Africa,-2.92,15.06,TRUE,FALSE,FALSE,Heath 2014
bann1247,aust1307,Oceanic,Papunesia,155.128,-6.23061,FALSE,FALSE,FALSE,"Lynch and Ross 2002, Lincoln 1976"
bant1281,sino1245,NA,Eurasia,87.04738,27.12147,TRUE,FALSE,FALSE,"Doornenbal 2009, Nakkeerar 2009, Rai 1985"
baou1238,atla1278,Kwa,Africa,-4.76565,5.42509,FALSE,FALSE,FALSE,Timyan 1977
bara1357,sino1245,NA,Eurasia,85.0584,28.3768,FALSE,FALSE,FALSE,"Kansakar, Yadava, Chalise, Prasain, Dhakal and Paudel 2011"
bara1380,tuca1253,Tucanoan,South America,-70.808,0.02193,TRUE,TRUE,FALSE,"Smith 1973, Jones and Jones 1991"
barb1263,chum1262,Chumash,North America,-119.699,34.462,FALSE,FALSE,FALSE,"Beeler 1970, Beeler 1976, Ono 1996, Wash 2001"
bard1255,nyul1248,Nyulnyulan,Australia,122.906,-16.6274,FALSE,FALSE,FALSE,"Metcalfe 1975, Bowern, Lanz, Kling and Katten 2015, Bowern 2012, Bowern 2004"
bare1276,araw1281,Northern Arawakan,South America,-66.828,1.91649,TRUE,TRUE,FALSE,Aikhenvald 1995
bare1279,afro1255,NA,Africa,17.911727,10.970124,FALSE,TRUE,FALSE,"Lovestrand 2012, Lovestrand 2018"
barg1252,nucl1709,Madang,Papunesia,145.756,-4.8723,FALSE,FALSE,FALSE,Hepner 2006
bari1284,nilo1247,Nilotic,Africa,31.0723,4.19522,FALSE,TRUE,FALSE,"Owen 1908, Spagnolo 1933"
bari1286,aust1307,NA,Papunesia,148.666,-5.5087,TRUE,FALSE,FALSE,Gallagher and Baehr 2005
