Glottocode,Family_GLOT_Lv1,Genus,Area_GLOT,Longitude,Latitude,Classifiers,Gender,NounClass,Source
awiy1238,nucl1709,Eastern Highlands,Papunesia,145.76,-6.54079,FALSE,FALSE,FALSE,"Marks 1974, McKaughan and Marks 1973"
awji1241,afro1255,NA,Africa,21.1819,29.2341,FALSE,TRUE,FALSE,Putten 2013
awng1244,afro1255,Central Cushitic,Africa,36.6916,10.9819,FALSE,TRUE,FALSE,Allene 2016
awtu1239,sepi1257,Ram,Papunesia,141.928,-3.53129,FALSE,FALSE,FALSE,"Feldman 1986, Feldman 1983"
awut1241,atla1278,NA,Africa,-0.59545,5.42441,FALSE,FALSE,FALSE,"Agyeman 2016, Obeng 2008"
ayab1239,pama1250,NA,Australia,142.893,-14.6652,FALSE,FALSE,FALSE,Verstraete and Rigsby 2015
ayac1239,quec1387,Quechuan,South America,-74.32246,-13.84714,FALSE,FALSE,FALSE,"Sola and Parker 1964, Sola and Parker 1963, Parker 1969"
ayut1236,otom1299,Mixtecan,North America,-97.95446,16.46073,FALSE,FALSE,FALSE,Hills 1990
baat1238,atla1278,Gur,Africa,2.99607,9.63186,FALSE,FALSE,TRUE,Welmers 1952
baba1264,atla1278,NA,Africa,10.5216,6.11222,FALSE,FALSE,TRUE,Pepandze 2005
baba1266,atla1278,NA,Africa,10.2869,5.97863,FALSE,FALSE,TRUE,Akumbu and Chibaka 2012
baba1267,aust1307,NA,Eurasia,103.076,1.75414,TRUE,FALSE,FALSE,"Thurgood 1998, Lim 1988, Lee 2014, Pakir 1986"
baba1268,aust1307,Oceanic,Papunesia,157.149,-7.22281,FALSE,FALSE,FALSE,Ray 1926
babi1235,atha1245,NA,North America,-126.41,55.0997,TRUE,FALSE,FALSE,Hargus 2007
babu1240,aust1307,NA,Papunesia,120.585,24.0017,FALSE,FALSE,FALSE,Li 2005
bact1239,indo1319,NA,Eurasia,66.85,36.81,FALSE,FALSE,FALSE,"Sims-Williams 1989, Gholami 2014, Gholami 2009"
bada1257,drav1251,Southern Dravidian,Eurasia,76.5974,11.3094,FALSE,TRUE,FALSE,Balakrishnan 1999
bade1248,afro1255,West Chadic,Africa,10.6557,12.789,FALSE,TRUE,FALSE,Schuh 2005
badi1246,pama1250,Pama-Nyungan,Australia,117.246,-29.0647,FALSE,FALSE,FALSE,Dunn 1988
bady1239,atla1278,NA,Africa,-13.4759,12.6425,FALSE,FALSE,FALSE,Cover 2010
bafa1247,atla1278,NA,Africa,9.522,4.53307,FALSE,FALSE,TRUE,"Ebah 1990, Chia, Tanda and Neba 2011"
bafa1249,atla1278,NA,Africa,10.4518,5.84612,TRUE,FALSE,TRUE,Koopman and Kural 1994
bafi1243,atla1278,Bantoid,Africa,11.0982,4.72603,FALSE,FALSE,TRUE,Guarisma 2003
bafu1246,atla1278,Bantoid,Africa,10.1194,6.14153,FALSE,FALSE,TRUE,"Ambe 1989, Mfonyam 1989, Tamanji 1999, Tamanji 2010"
baga1272,atla1278,Mel,Africa,-14.4756,10.4793,FALSE,FALSE,TRUE,Ganong 1998
baga1273,atla1278,NA,Africa,-13.947,10.1286,FALSE,FALSE,TRUE,Relich 1973
bagi1246,cent2225,Bongo-Bagirmi,Africa,14.769495,11.52392,FALSE,FALSE,FALSE,"Keegan and Djibrine 2016, Stevenson 1969"
bagr1243,indo1319,Indic,Eurasia,75.06,31.4,FALSE,TRUE,FALSE,"Gusain 2000, Gusain 1999"
baha1256,taik1256,NA,Eurasia,104.449,23.0105,TRUE,FALSE,FALSE,"Li and Luo 2010, Li and Luo 2006"
baha1258,west2604,West Bomberai,Papunesia,132.637,-3.10628,FALSE,FALSE,FALSE,Flassy 2002
baha1259,afro1255,Semitic,Eurasia,50.580811,26.223615,FALSE,TRUE,FALSE,"Al-Tajir 1982, Holes 2015, Holes 1983, 1984, Prochazka 1981"
baha1260,indo1319,NA,North America,-77.390587,25.032149,FALSE,FALSE,FALSE,"Hackert 2004, Reaser and Torbert 2004, Shilling 1978, Hackert 2013"
bahi1252,sino1245,NA,Eurasia,86.3949,27.3323,FALSE,FALSE,FALSE,"Hodgson 1857, 1858, Rapacha 2008"
bahn1262,aust1305,Bahnaric,Eurasia,108.471,14.0476,TRUE,FALSE,FALSE,"Banker 1965, Mo,, Banker and Sip 1973"
baik1238,aust1307,NA,Papunesia,124.256,-9.32991,FALSE,FALSE,FALSE,Hull 2001
bais1246,afro1255,Eastern Cushitic,Africa,37.7681,6.44892,FALSE,TRUE,FALSE,"Haberland and Lamberti 1988, Hayward 1978, 1979, Lemmi 2018"
baja1265,indo1319,NA,North America,-59.5346,13.1365,FALSE,FALSE,FALSE,"Fields 1995, Niles 1980"
baje1238,indo1319,NA,Eurasia,42.9867,33.9498,FALSE,FALSE,FALSE,MacKenzie 1956
baka1272,atla1278,Ubangi,Africa,13.7804,2.16013,FALSE,FALSE,FALSE,Léonard 2005
